Edad,Rotacion,Departamento,Puesto,Nivel_Educativo,Ingreso_Mensual,Disponibilidad_Horaria,Movilidad_Propia,Distancia_KM,Cantidad_Hijos,Satisfaccion_Puesto,Equilibrio_VidaTrabajo,Horas_Extra,Capacitaciones_Ultimo_Anio,Anios_Empresa,Num_Empresas_Previas
53,No,Docencia,Auxiliar Docente,2,1118714,Media jornada,No,1.2,1,Bueno,Bueno,No,1,12,2
38,Yes,Investigación y desarrollo,Becario/a de Investigación,3,1139604,Completa,No,6.7,0,Muy bajo,Bueno,Sí,3,1,0
21,No,Docencia,Coordinador/a de Cátedra,2,1620109,Completa,No,25.8,0,Bueno,Excelente,No,0,0,0
19,Yes,Mantenimiento,Supervisor/a de Mantenimiento,3,848292,Completa,No,7.4,1,Muy bajo,Muy bajo,Sí,1,0,0
19,Yes,Tecnología,Analista Funcional,4,1714776,Completa,Sí,11.2,0,Excelente,Muy bajo,No,1,0,0
35,Yes,Investigación y desarrollo,Becario/a de Investigación,3,2057883,Completa,No,8.0,0,Muy bajo,Excelente,No,1,6,1
20,Yes,Docencia,Jefe/a de Trabajos Prácticos,5,1149170,Flexible,No,7.0,1,Bajo,Bajo,No,2,0,0
47,No,Investigación y desarrollo,Docente-Investigador/a,3,2344457,Completa,Sí,12.8,2,Bajo,Excelente,No,4,5,1
38,No,Investigación y desarrollo,Investigador/a Asistente,4,2857498,Completa,No,3.5,0,Bajo,Excelente,No,3,1,0
24,Yes,Tecnología,Soporte IT,3,2260908,Completa,Sí,30.2,0,Bajo,Bajo,Sí,2,1,0
26,No,Tecnología,Analista Funcional,3,2828005,Completa,No,3.7,0,Bajo,Bajo,No,3,1,0
47,Yes,Ventas,Asesor/a de Vinculación,2,1145745,Completa,No,13.5,2,Bueno,Bajo,No,1,12,1
51,No,Contaduría,Responsable Impositivo,2,1966561,Completa,No,2.6,0,Excelente,Bueno,No,1,4,1
21,Yes,Docencia,Profesor/a Adjunto/a,4,2100769,Media jornada,Sí,9.9,0,Bueno,Bajo,No,1,0,0
53,Yes,Tecnología,Soporte IT,4,2759669,Completa,No,14.5,2,Bueno,Bajo,Sí,5,16,3
23,No,Marketing,Diseñador/a Gráfico/a,1,941600,Completa,No,2.3,0,Bajo,Excelente,No,1,1,0
45,No,RRHH,Generalista de RRHH,1,1380008,Media jornada,No,2.8,3,Bueno,Bueno,No,0,2,0
30,No,Marketing,Diseñador/a Gráfico/a,1,929998,Flexible,No,4.6,0,Bueno,Bueno,No,0,3,1
38,No,RRHH,Generalista de RRHH,3,876762,Completa,No,4.7,1,Bajo,Muy bajo,No,1,2,0
38,Yes,RRHH,Generalista de RRHH,1,1153030,Completa,No,6.7,0,Bueno,Muy bajo,Sí,2,1,0
27,Yes,Contaduría,Responsable Impositivo,3,1259444,Completa,Sí,15.9,2,Bueno,Muy bajo,No,0,1,0
57,Yes,Docencia,Coordinador/a de Cátedra,4,1278795,Completa,No,6.0,2,Bajo,Muy bajo,No,0,6,1
22,Yes,Docencia,Auxiliar Docente,4,1251784,Completa,No,25.1,1,Bajo,Bueno,No,0,0,0
37,Yes,Docencia,Profesor/a Adjunto/a,4,1956665,Completa,No,11.6,1,Muy bajo,Bajo,No,0,3,0
56,No,Tecnología,Desarrollador/a,3,3000000,Flexible,No,3.6,0,Excelente,Bajo,No,3,13,2
45,Yes,Investigación y desarrollo,Docente-Investigador/a,3,2099098,Completa,No,8.1,0,Excelente,Excelente,No,1,1,0
31,No,RRHH,Especialista en Capacitación,2,1083309,Completa,No,1.9,0,Excelente,Excelente,No,1,0,0
31,No,Ventas,Asesor/a de Vinculación,3,2107117,Completa,Sí,7.0,1,Bajo,Excelente,No,2,0,0
40,No,Investigación y desarrollo,Docente-Investigador/a,4,1336445,Flexible,No,6.7,2,Excelente,Excelente,No,1,2,0
46,Yes,Contaduría,Responsable Impositivo,1,1290951,Completa,No,6.2,1,Muy bajo,Excelente,No,3,5,1
40,No,Marketing,Analista de Marketing,4,1448144,Media jornada,Sí,13.6,1,Bueno,Bueno,No,0,6,1
37,Yes,Investigación y desarrollo,Becario/a de Investigación,3,1041540,Completa,Sí,8.5,3,Muy bajo,Muy bajo,Sí,4,8,1
26,Yes,Docencia,Profesor/a Titular,5,2402044,Media jornada,No,3.9,0,Excelente,Bajo,Sí,1,1,0
26,No,Investigación y desarrollo,Investigador/a Principal,5,3000000,Completa,No,21.7,1,Bajo,Bueno,No,2,0,0
44,Yes,Docencia,Profesor/a Titular,3,2431524,Completa,Sí,27.3,0,Muy bajo,Bajo,No,0,3,1
44,No,Ventas,Representante Institucional,1,1882005,Completa,No,7.9,1,Bajo,Bajo,No,2,10,2
41,Yes,Marketing,Analista de Marketing,1,1241325,Completa,No,11.3,0,Bajo,Bajo,No,0,7,0
31,Yes,Tecnología,Analista Funcional,4,2804017,Completa,Sí,7.6,0,Muy bajo,Bueno,No,2,4,1
46,No,Mantenimiento,Técnico/a de Mantenimiento,3,1143374,Media jornada,No,6.3,0,Excelente,Bueno,No,1,2,0
27,Yes,Marketing,Especialista en Comunicación,3,1435413,Completa,No,10.5,2,Bajo,Muy bajo,No,2,0,0
38,Yes,Docencia,Coordinador/a de Cátedra,5,980567,Completa,No,3.2,2,Excelente,Excelente,No,3,1,0
37,Yes,Ventas,Asesor/a de Vinculación,3,2693503,Completa,No,7.1,0,Bajo,Muy bajo,Sí,1,7,1
57,No,RRHH,Analista de RRHH,2,1494011,Media jornada,No,10.8,4,Bueno,Bueno,No,2,5,1
30,No,Marketing,Analista de Marketing,2,700000,Flexible,Sí,16.6,1,Bajo,Bueno,No,2,3,0
33,No,Ventas,Representante Institucional,3,1305573,Completa,No,7.0,1,Bueno,Excelente,No,1,3,0
49,Yes,Investigación y desarrollo,Investigador/a Principal,4,3000000,Completa,No,10.6,0,Muy bajo,Excelente,Sí,4,8,2
32,No,Docencia,Profesor/a Adjunto/a,2,1960393,Media jornada,No,7.4,0,Bajo,Bueno,No,1,1,0
29,No,Investigación y desarrollo,Investigador/a Asistente,5,1953821,Flexible,No,13.9,1,Bueno,Bueno,No,1,3,0
44,No,Contaduría,Administrativo/a de Contaduría,2,1190284,Media jornada,No,1.6,0,Bueno,Bajo,Sí,4,1,0
45,Yes,Mantenimiento,Supervisor/a de Mantenimiento,4,1327949,Completa,No,7.9,1,Muy bajo,Bueno,No,0,12,3
29,Yes,Mantenimiento,Supervisor/a de Mantenimiento,3,1055705,Completa,Sí,13.8,0,Bueno,Bajo,No,1,0,0
56,No,Docencia,Profesor/a Adjunto/a,2,894697,Completa,Sí,5.3,0,Excelente,Bajo,No,0,2,0
52,Yes,RRHH,Especialista en Capacitación,4,1297818,Completa,No,12.6,0,Bajo,Muy bajo,No,0,6,0
37,Yes,Contaduría,Responsable Impositivo,2,1369705,Media jornada,No,6.8,3,Bajo,Muy bajo,Sí,1,7,0
24,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,4,1691758,Completa,No,8.5,0,Bueno,Bajo,No,3,0,0
56,No,Docencia,Coordinador/a de Cátedra,4,1685448,Completa,No,7.0,0,Muy bajo,Bueno,No,0,9,1
46,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,3,2187852,Flexible,Sí,21.2,1,Bajo,Muy bajo,Sí,3,1,0
19,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,2,2300190,Media jornada,No,7.5,0,Muy bajo,Bueno,Sí,0,0,0
53,No,Investigación y desarrollo,Docente-Investigador/a,3,2340586,Completa,Sí,24.9,2,Muy bajo,Excelente,No,2,10,2
58,No,RRHH,Especialista en Selección,2,1466858,Media jornada,No,14.0,2,Bajo,Bajo,Sí,1,5,1
26,Yes,Tecnología,Soporte IT,3,1940705,Completa,No,6.3,0,Bueno,Excelente,No,4,2,0
25,Yes,Investigación y desarrollo,Investigador/a Asistente,5,1457214,Flexible,No,7.9,0,Bajo,Bajo,No,3,2,0
29,No,Dirección de Carreras,Coordinador/a Académico/a,3,2182369,Flexible,No,1.8,1,Bajo,Excelente,No,1,3,0
57,No,Dirección de Carreras,Coordinador/a Académico/a,2,2009497,Completa,Sí,8.7,3,Bueno,Bajo,No,1,4,1
22,Yes,Investigación y desarrollo,Investigador/a Asistente,4,2251329,Media jornada,No,9.5,0,Muy bajo,Bajo,No,5,0,0
43,Yes,RRHH,Generalista de RRHH,2,1002635,Flexible,Sí,11.5,0,Muy bajo,Muy bajo,Sí,0,10,2
30,No,Investigación y desarrollo,Investigador/a Asistente,3,1602587,Completa,Sí,23.9,0,Bueno,Muy bajo,No,0,3,1
44,Yes,Investigación y desarrollo,Docente-Investigador/a,5,1415912,Completa,Sí,14.8,0,Bajo,Bueno,No,5,2,0
56,Yes,Docencia,Profesor/a Titular,4,1539369,Media jornada,No,17.9,2,Muy bajo,Muy bajo,No,2,9,1
30,Yes,Tecnología,Soporte IT,3,1775692,Completa,Sí,7.9,0,Muy bajo,Muy bajo,No,1,4,0
55,No,RRHH,Analista de RRHH,2,1108980,Completa,No,2.2,0,Excelente,Bueno,No,0,8,1
42,Yes,Docencia,Profesor/a Titular,3,1256917,Flexible,No,11.0,0,Muy bajo,Bajo,Sí,1,9,1
34,Yes,Investigación y desarrollo,Investigador/a Principal,4,1553230,Flexible,No,18.7,0,Muy bajo,Bueno,No,4,3,0
31,Yes,Ventas,Representante Institucional,1,1024991,Completa,Sí,0.9,0,Bajo,Bajo,Sí,0,1,0
43,Yes,Investigación y desarrollo,Becario/a de Investigación,5,1708976,Completa,Sí,9.8,1,Bajo,Muy bajo,No,2,2,0
22,Yes,Docencia,Profesor/a Adjunto/a,4,2048412,Completa,No,2.0,0,Bueno,Bueno,Sí,1,0,0
29,No,Contaduría,Responsable Impositivo,2,1329637,Completa,No,3.2,0,Excelente,Muy bajo,Sí,0,1,0
50,No,Dirección de Carreras,Secretario/a Académico/a,3,1794318,Completa,Sí,10.1,1,Bueno,Bueno,Sí,3,13,2
25,No,Investigación y desarrollo,Investigador/a Principal,5,2654304,Flexible,No,24.1,0,Excelente,Muy bajo,No,3,1,0
29,No,Tecnología,Desarrollador/a,3,2492327,Completa,No,9.1,0,Bueno,Muy bajo,No,4,3,0
46,Yes,Marketing,Diseñador/a Gráfico/a,2,749482,Completa,No,14.2,1,Bueno,Bajo,No,2,8,1
59,No,Investigación y desarrollo,Investigador/a Asistente,4,1075708,Completa,No,10.9,1,Bueno,Excelente,No,0,8,1
41,Yes,Tecnología,Soporte IT,4,2396838,Flexible,No,5.2,1,Bajo,Bajo,Sí,1,3,0
41,No,Investigación y desarrollo,Investigador/a Principal,4,2109659,Completa,No,12.4,1,Muy bajo,Bajo,No,2,9,1
46,Yes,Tecnología,Administrador/a de Sistemas,4,2452821,Completa,No,3.3,2,Bajo,Muy bajo,No,2,7,0
44,Yes,Tecnología,Analista Funcional,4,1311306,Completa,No,9.0,0,Excelente,Muy bajo,No,3,6,1
43,No,RRHH,Especialista en Capacitación,4,1486068,Completa,No,12.7,1,Bueno,Excelente,No,1,11,2
47,Yes,Docencia,Profesor/a Titular,5,2386101,Media jornada,No,10.3,1,Excelente,Bueno,No,1,6,1
37,Yes,Mantenimiento,Técnico/a de Mantenimiento,1,700000,Completa,No,6.7,0,Muy bajo,Excelente,No,0,7,1
51,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,4,1890607,Completa,Sí,7.0,1,Muy bajo,Excelente,Sí,3,13,1
54,No,Docencia,Jefe/a de Trabajos Prácticos,4,1728532,Completa,Sí,2.5,1,Bueno,Bueno,No,0,5,1
32,Yes,Docencia,Profesor/a Titular,4,1960261,Completa,No,7.6,0,Muy bajo,Bueno,Sí,0,1,0
32,No,Tecnología,Analista Funcional,4,2185259,Completa,No,16.1,0,Bueno,Bueno,Sí,2,5,0
53,Yes,Tecnología,Desarrollador/a,3,1795515,Completa,No,11.9,1,Muy bajo,Excelente,Sí,1,7,1
48,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,1287643,Completa,No,3.5,3,Muy bajo,Bueno,No,1,1,0
46,Yes,RRHH,Analista de RRHH,3,970044,Completa,No,1.3,2,Bueno,Muy bajo,No,1,7,0
35,No,Investigación y desarrollo,Docente-Investigador/a,3,1418845,Completa,Sí,5.1,0,Muy bajo,Bueno,No,1,4,0
21,Yes,Tecnología,Administrador/a de Sistemas,3,1573509,Media jornada,No,7.7,0,Bajo,Muy bajo,No,4,0,0
34,Yes,Docencia,Auxiliar Docente,3,1267717,Completa,No,8.1,0,Bueno,Bueno,Sí,1,6,1
48,No,Tecnología,Soporte IT,3,1981232,Completa,No,8.2,0,Bueno,Muy bajo,No,0,12,1
47,Yes,Contaduría,Administrativo/a de Contaduría,1,1109090,Completa,No,5.6,2,Muy bajo,Bueno,No,0,12,3
33,No,Ventas,Representante Institucional,2,842255,Flexible,Sí,12.1,0,Bueno,Bueno,No,1,0,0
43,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,1260185,Flexible,No,6.7,0,Excelente,Bajo,No,0,8,0
56,Yes,Investigación y desarrollo,Becario/a de Investigación,4,922217,Completa,No,4.3,3,Muy bajo,Excelente,No,1,5,0
56,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,1082224,Completa,Sí,13.1,2,Bueno,Bueno,No,1,4,1
41,No,Ventas,Ejecutivo/a de Vinculación y Empresas,3,1542879,Completa,No,16.3,2,Bueno,Bueno,Sí,0,8,1
43,Yes,Mantenimiento,Supervisor/a de Mantenimiento,2,869014,Completa,No,3.7,2,Bueno,Muy bajo,Sí,0,5,0
25,No,Investigación y desarrollo,Técnico/a de Laboratorio,3,1534699,Completa,Sí,30.4,1,Bueno,Bajo,Sí,0,2,0
40,No,Tecnología,Desarrollador/a,4,1932291,Media jornada,No,23.3,0,Bajo,Bajo,Sí,1,1,0
35,No,Mantenimiento,Técnico/a de Mantenimiento,2,1064115,Completa,No,2.4,1,Bajo,Excelente,No,1,6,1
36,Yes,RRHH,Analista de RRHH,4,874289,Flexible,No,1.4,0,Bueno,Excelente,No,0,1,0
59,No,RRHH,Generalista de RRHH,3,1382815,Completa,Sí,5.0,0,Excelente,Excelente,No,0,5,1
28,No,Investigación y desarrollo,Investigador/a Asistente,4,3000000,Flexible,No,10.9,1,Bueno,Excelente,No,1,2,0
28,Yes,Docencia,Coordinador/a de Cátedra,5,1355347,Media jornada,Sí,30.1,0,Bajo,Muy bajo,No,2,1,0
25,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,1,1712210,Completa,No,29.4,0,Bueno,Bajo,Sí,1,1,0
56,Yes,Ventas,Asesor/a de Vinculación,2,1453259,Completa,No,14.2,0,Muy bajo,Muy bajo,Sí,0,17,1
45,No,Tecnología,Analista Funcional,4,2268679,Completa,No,6.8,0,Muy bajo,Bueno,No,1,8,2
51,No,Investigación y desarrollo,Investigador/a Asistente,4,1559589,Completa,Sí,19.4,2,Bueno,Muy bajo,No,4,5,0
19,No,Investigación y desarrollo,Becario/a de Investigación,5,1408959,Completa,Sí,9.9,0,Excelente,Bajo,No,2,0,0
52,No,Tecnología,Analista Funcional,2,2134788,Media jornada,No,3.1,1,Bueno,Bueno,No,4,7,0
22,No,Ventas,Asesor/a de Vinculación,3,1083275,Completa,No,3.1,0,Bueno,Bajo,No,0,0,0
35,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,3,2122094,Flexible,No,6.8,1,Bajo,Excelente,No,0,4,1
22,No,Marketing,Analista de Marketing,3,1580280,Completa,No,17.3,0,Muy bajo,Excelente,No,2,0,0
44,No,Tecnología,Analista Funcional,3,3000000,Flexible,No,3.9,1,Bueno,Bajo,No,4,9,1
22,Yes,Docencia,Auxiliar Docente,3,1366986,Completa,No,6.8,1,Bueno,Muy bajo,Sí,1,0,0
19,Yes,Docencia,Jefe/a de Trabajos Prácticos,5,1052840,Media jornada,No,23.2,1,Bajo,Bueno,Sí,0,0,0
25,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,2,2915196,Completa,No,11.9,2,Muy bajo,Bueno,Sí,2,1,0
48,No,Tecnología,Soporte IT,4,1246563,Completa,No,12.8,1,Bajo,Bueno,No,2,4,1
27,Yes,Docencia,Profesor/a Titular,4,1711388,Flexible,No,17.7,2,Muy bajo,Bajo,No,1,2,0
53,No,Docencia,Profesor/a Titular,4,2555860,Completa,No,6.9,1,Excelente,Muy bajo,Sí,0,10,1
26,Yes,Tecnología,Analista Funcional,4,1225694,Media jornada,Sí,24.2,1,Bueno,Bueno,No,1,2,0
42,No,Docencia,Auxiliar Docente,3,794528,Media jornada,Sí,14.5,2,Bueno,Bueno,No,0,6,0
37,No,Docencia,Jefe/a de Trabajos Prácticos,4,1623374,Completa,No,8.3,2,Bueno,Muy bajo,No,0,7,2
54,Yes,RRHH,Especialista en Selección,4,1116760,Completa,Sí,13.0,2,Excelente,Excelente,No,0,12,3
45,No,Tecnología,Soporte IT,3,1227881,Flexible,Sí,14.1,1,Muy bajo,Bajo,No,3,5,1
50,No,Tecnología,Analista Funcional,4,2140146,Completa,No,8.9,0,Bueno,Excelente,No,1,4,0
32,No,Investigación y desarrollo,Investigador/a Asistente,4,2902992,Media jornada,Sí,13.1,0,Excelente,Excelente,No,2,0,0
36,Yes,Tecnología,Analista Funcional,3,3000000,Flexible,No,4.6,2,Muy bajo,Excelente,No,4,1,0
46,Yes,Investigación y desarrollo,Becario/a de Investigación,4,1336230,Completa,Sí,19.5,0,Bueno,Muy bajo,Sí,2,12,1
47,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,5,2891478,Completa,No,29.8,1,Bajo,Bajo,No,5,6,1
34,Yes,Marketing,Diseñador/a Gráfico/a,2,896653,Media jornada,Sí,2.4,0,Bueno,Muy bajo,Sí,1,6,1
53,Yes,Tecnología,Analista Funcional,4,1900945,Completa,No,5.9,1,Muy bajo,Muy bajo,No,2,4,1
49,Yes,Mantenimiento,Encargado/a de Servicios Generales,4,713967,Completa,No,3.5,3,Bajo,Bajo,No,3,7,1
22,Yes,Tecnología,Desarrollador/a,3,1537749,Completa,No,15.1,0,Bueno,Muy bajo,No,1,0,0
